"WBXA052.Code.or.Value","WBXA052.Value.Description","WBXA052.Count","WBXA052.Cumulative","WBXA052.Skip.to.Item"
"-2.9635 to 0.9996","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
