"LBCHXCLA.Code.or.Value","LBCHXCLA.Value.Description","LBCHXCLA.Count","LBCHXCLA.Cumulative","LBCHXCLA.Skip.to.Item"
"0.5374 to 62.34","Range of Values",293,293,NA
".","Missing",8,301,NA
