"CFDCST2.Code.or.Value","CFDCST2.Value.Description","CFDCST2.Count","CFDCST2.Cumulative","CFDCST2.Skip.to.Item"
"0 to 10","Range of Values",1463,1463,NA
".","Missing",224,1687,NA
