"DR2_300.Code.or.Value","DR2_300.Value.Description","DR2_300.Count","DR2_300.Cumulative","DR2_300.Skip.to.Item"
"1","Much more than usual",427,427,NA
"2","Usual",6263,6690,NA
"3","Much less than usual",935,7625,NA
"7","Refused",0,7625,NA
"9","Don't know",36,7661,NA
".","Missing",1677,9338,NA
