"TYXP141.Code.or.Value","TYXP141.Value.Description","TYXP141.Count","TYXP141.Cumulative","TYXP141.Skip.to.Item"
"-294 to 103","Range of Values",3880,3880,NA
".","Missing",1705,5585,NA
