"WHD010.Code.or.Value","WHD010.Value.Description","WHD010.Count","WHD010.Cumulative","WHD010.Skip.to.Item"
"53 to 84","Range of Values",6060,6060,NA
"7777","Refused",2,6062,NA
"9999","Don't know",82,6144,NA
".","Missing",31,6175,NA
