"DRD370A.Code.or.Value","DRD370A.Value.Description","DRD370A.Count","DRD370A.Cumulative","DRD370A.Skip.to.Item"
"1","Yes",551,551,""
"2","No",3787,4338,"DRD370B"
".","Missing",4366,8704,""
