"OHD23LAM.Code.or.Value","OHD23LAM.Value.Description","OHD23LAM.Count","OHD23LAM.Cumulative","OHD23LAM.Skip.to.Item"
"0 to 9","Range of Values",2620,2620,NA
"99","Calculation cannot be determined",156,2776,NA
".","Missing",4354,7130,NA
