"DUQ260.Code.or.Value","DUQ260.Value.Description","DUQ260.Count","DUQ260.Cumulative","DUQ260.Skip.to.Item"
"12 to 48","Range of Values",478,478,NA
"11","11 years or under",0,478,NA
"777","Refused",0,478,NA
"999","Don't know",0,478,NA
".","Missing",4094,4572,NA
