"WBXF063.Code.or.Value","WBXF063.Value.Description","WBXF063.Count","WBXF063.Cumulative","WBXF063.Skip.to.Item"
"2244.9241 to 2244.9241","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
