"SMQ690A.Code.or.Value","SMQ690A.Value.Description","SMQ690A.Count","SMQ690A.Cumulative","SMQ690A.Skip.to.Item"
"1","Cigarettes",1296,1296,NA
".","Missing",6149,7445,NA
