"URXUIO.Code.or.Value","URXUIO.Value.Description","URXUIO.Count","URXUIO.Cumulative","URXUIO.Skip.to.Item"
"7.7 to 13926","Range of Values",2864,2864,NA
".","Missing",77,2941,NA
