"PAXSWMH.Code.or.Value","PAXSWMH.Value.Description","PAXSWMH.Count","PAXSWMH.Cumulative","PAXSWMH.Skip.to.Item"
"0 to 60","Range of Values",1307994,1307994,NA
".","Missing",0,1307994,NA
