"URXCPM.Code.or.Value","URXCPM.Value.Description","URXCPM.Count","URXCPM.Cumulative","URXCPM.Skip.to.Item"
"0.28 to 79.59","Range of Values",3011,3011,NA
".","Missing",141,3152,NA
