"SSII4FCM.Code.or.Value","SSII4FCM.Value.Description","SSII4FCM.Count","SSII4FCM.Cumulative","SSII4FCM.Skip.to.Item"
"0 to 100000","Range of Values",993,993,NA
".","Missing",43,1036,NA
