"SMD055.Code.or.Value","SMD055.Value.Description","SMD055.Count","SMD055.Cumulative","SMD055.Skip.to.Item"
"3 to 79","Range of Values",1370,1370,NA
"80","80 years or older",5,1375,NA
"777","Refused",5,1380,NA
"999","Don't know",14,1394,NA
".","Missing",6134,7528,NA
