"CBD071.Code.or.Value","CBD071.Value.Description","CBD071.Count","CBD071.Cumulative","CBD071.Skip.to.Item"
"0 to 6428","Range of Values",9495,9495,NA
"8400","8400 and over",5,9500,NA
"777777","Refused",19,9519,NA
"999999","Don't know",123,9642,NA
".","Missing",329,9971,NA
