"DXXPT30X.Code.or.Value","DXXPT30X.Value.Description","DXXPT30X.Count","DXXPT30X.Cumulative","DXXPT30X.Skip.to.Item"
"724.4 to 1260","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
