"RDQ137.Code.or.Value","RDQ137.Value.Description","RDQ137.Count","RDQ137.Cumulative","RDQ137.Skip.to.Item"
"0","None",416,416,NA
"1","1 to 7",151,567,NA
"2","8 to 30",49,616,NA
"3","31 plus",8,624,NA
"7","Refused",0,624,NA
"9","Don't know",3,627,NA
".","Missing",8866,9493,NA
