"OPXSPHOT.Code.or.Value","OPXSPHOT.Value.Description","OPXSPHOT.Count","OPXSPHOT.Cumulative","OPXSPHOT.Skip.to.Item"
"0","No",1901,1901,NA
"2","Yes",583,2484,NA
"9","No photos of eye",20,2504,NA
".","Missing",430,2934,NA
