"URXAAM.Code.or.Value","URXAAM.Value.Description","URXAAM.Count","URXAAM.Cumulative","URXAAM.Skip.to.Item"
"1.56 to 1270","Range of Values",2655,2655,NA
".","Missing",324,2979,NA
