"CIQD031.Code.or.Value","CIQD031.Value.Description","CIQD031.Count","CIQD031.Cumulative","CIQD031.Skip.to.Item"
"1","Yes",76,76,NA
"2","No",37,113,NA
"7","Refuse",0,113,NA
"9","Don't know",1,114,NA
".","Missing",736,850,NA
