"RFXC040.Code.or.Value","RFXC040.Value.Description","RFXC040.Count","RFXC040.Cumulative","RFXC040.Skip.to.Item"
"-6.354 to 3.677","Range of Values",51066,51066,NA
".","Missing",10,51076,NA
