"DSD090.Code.or.Value","DSD090.Value.Description","DSD090.Count","DSD090.Cumulative","DSD090.Skip.to.Item"
"0 to 29200","Range of Values",8205,8205,NA
"7777777","Refused",0,8205,NA
"9999999","Don't know",29,8234,NA
".","Missing",51,8285,NA
