"LBD101LC.Code.or.Value","LBD101LC.Value.Description","LBD101LC.Count","LBD101LC.Cumulative","LBD101LC.Skip.to.Item"
"0","detectable result",24,24,NA
"1","below detectable limit",1905,1929,NA
".","Missing",345,2274,NA
