"PUD072.Code.or.Value","PUD072.Value.Description","PUD072.Count","PUD072.Cumulative","PUD072.Skip.to.Item"
"1","One time only",691,691,NA
"2","Two or more times",223,914,NA
".","Missing",10125,11039,NA
