"DR2TS080.Code.or.Value","DR2TS080.Value.Description","DR2TS080.Count","DR2TS080.Cumulative","DR2TS080.Skip.to.Item"
"0 to 14.881","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
