"LBDOTTLC.Code.or.Value","LBDOTTLC.Value.Description","LBDOTTLC.Count","LBDOTTLC.Cumulative","LBDOTTLC.Skip.to.Item"
"0","At or above the detection limit",4262,4262,NA
"1","Below lower detection limit",0,4262,NA
".","Missing",1161,5423,NA
