"DEQ034C.Code.or.Value","DEQ034C.Value.Description","DEQ034C.Count","DEQ034C.Cumulative","DEQ034C.Skip.to.Item"
"1","Always",231,231,NA
"2","Most of the time",225,456,NA
"3","Sometimes",722,1178,NA
"4","Rarely, or",625,1803,NA
"5","Never?",1877,3680,NA
"7","Refused",0,3680,NA
"9","Don't know",0,3680,NA
".","Missing",89,3769,NA
