"MCQ086.Code.or.Value","MCQ086.Value.Description","MCQ086.Count","MCQ086.Cumulative","MCQ086.Skip.to.Item"
"1","Yes",63,63,NA
"2","No",8743,8806,NA
"7","Refused",0,8806,NA
"9","Don't know",7,8813,NA
".","Missing",1296,10109,NA
