"WHQ280A.Code.or.Value","WHQ280A.Value.Description","WHQ280A.Count","WHQ280A.Cumulative","WHQ280A.Skip.to.Item"
"1","personal trainer",81,81,NA
"7","Refused",0,81,NA
"9","Don't know",0,81,NA
".","Missing",6465,6546,NA
