"LBXTSA.Code.or.Value","LBXTSA.Value.Description","LBXTSA.Count","LBXTSA.Cumulative","LBXTSA.Skip.to.Item"
"9.77 to 60.2","Range of Values",4266,4266,NA
".","Missing",1377,5643,NA
