"LBXIHG.Code.or.Value","LBXIHG.Value.Description","LBXIHG.Count","LBXIHG.Cumulative","LBXIHG.Skip.to.Item"
"0.3 to 11.2","Range of Values",2391,2391,NA
".","Missing",6441,8832,NA
