"FSD146.Code.or.Value","FSD146.Value.Description","FSD146.Count","FSD146.Cumulative","FSD146.Skip.to.Item"
"1","Yes",8,8,NA
"2","No",1112,1120,NA
"6","Screened out",1338,2458,NA
"7","Refused",0,2458,NA
"9","Don't know",0,2458,NA
".","Missing",7664,10122,NA
