"LBXSOSSI.Code.or.Value","LBXSOSSI.Value.Description","LBXSOSSI.Count","LBXSOSSI.Cumulative","LBXSOSSI.Skip.to.Item"
"201 to 307","Range of Values",6434,6434,NA
".","Missing",546,6980,NA
