"DXXNKBMC.Code.or.Value","DXXNKBMC.Value.Description","DXXNKBMC.Count","DXXNKBMC.Cumulative","DXXNKBMC.Skip.to.Item"
"0.16 to 8.46","Range of Values",2286,2286,NA
".","Missing",612,2898,NA
