"SMQ690J.Code.or.Value","SMQ690J.Value.Description","SMQ690J.Count","SMQ690J.Cumulative","SMQ690J.Skip.to.Item"
"10","Dissolvables",1,1,NA
".","Missing",6743,6744,NA
