"ENXMEAN.Code.or.Value","ENXMEAN.Value.Description","ENXMEAN.Count","ENXMEAN.Cumulative","ENXMEAN.Skip.to.Item"
"3.5 to 197","Range of Values",6525,6525,NA
".","Missing",970,7495,NA
