"SPAPOS.Code.or.Value","SPAPOS.Value.Description","SPAPOS.Count","SPAPOS.Cumulative","SPAPOS.Skip.to.Item"
"Sitting","Sitting",5,5,NA
"Standing","Standing",36416,36421,NA
"< blank >","Missing",0,36421,NA
