"WBXF092.Code.or.Value","WBXF092.Value.Description","WBXF092.Count","WBXF092.Cumulative","WBXF092.Skip.to.Item"
"5187.3582 to 5187.3582","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
