"DTD080Q.Code.or.Value","DTD080Q.Value.Description","DTD080Q.Count","DTD080Q.Cumulative","DTD080Q.Skip.to.Item"
"0 to 90","Range of Values",7849,7849,NA
"777","Refused",3,7852,NA
"999","Don't know",7,7859,NA
".","Missing",682,8541,NA
