"DBQ400.Code.or.Value","DBQ400.Value.Description","DBQ400.Count","DBQ400.Cumulative","DBQ400.Skip.to.Item"
"1","Yes",2004,2004,""
"2","No",502,2506,"DBQ422"
"7","Refused",0,2506,"DBQ422"
"9","Don't know",36,2542,"DBQ422"
".","Missing",7995,10537,""
