"URXMZP.Code.or.Value","URXMZP.Value.Description","URXMZP.Count","URXMZP.Cumulative","URXMZP.Skip.to.Item"
"0.21 to 307.2","Range of Values",2762,2762,NA
".","Missing",224,2986,NA
