"DXXPT73Y.Code.or.Value","DXXPT73Y.Value.Description","DXXPT73Y.Count","DXXPT73Y.Cumulative","DXXPT73Y.Skip.to.Item"
"167.5 to 395.2","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
