"DUQ260.Code.or.Value","DUQ260.Value.Description","DUQ260.Count","DUQ260.Cumulative","DUQ260.Skip.to.Item"
"0 to 50","Range of Values",619,619,NA
"77","Refused",0,619,NA
"99","Don't know",1,620,NA
".","Missing",4005,4625,NA
