"URDUURLC.Code.or.Value","URDUURLC.Value.Description","URDUURLC.Count","URDUURLC.Cumulative","URDUURLC.Skip.to.Item"
"0","At or above the detection limit",1683,1683,NA
"1","Below lower detection limit",589,2272,NA
".","Missing",77,2349,NA
