"SXD030.Code.or.Value","SXD030.Value.Description","SXD030.Count","SXD030.Cumulative","SXD030.Skip.to.Item"
"10 to 44","Range of Values",2372,2372,NA
"1","Less than 10 years of age",30,2402,NA
"777","Refused",8,2410,NA
"999","Don't know",8,2418,NA
".","Missing",420,2838,NA
