"URXUTM.Code.or.Value","URXUTM.Value.Description","URXUTM.Count","URXUTM.Cumulative","URXUTM.Skip.to.Item"
"0.18 to 77.7","Range of Values",2277,2277,NA
".","Missing",72,2349,NA
