"LBXSAL.Code.or.Value","LBXSAL.Value.Description","LBXSAL.Count","LBXSAL.Cumulative","LBXSAL.Skip.to.Item"
"2.1 to 5.5","Range of Values",6891,6891,NA
".","Missing",554,7445,NA
