"LBXPFUA.Code.or.Value","LBXPFUA.Value.Description","LBXPFUA.Count","LBXPFUA.Cumulative","LBXPFUA.Skip.to.Item"
"0.07 to 4.2","Range of Values",1993,1993,NA
".","Missing",177,2170,NA
