"DRD370K.Code.or.Value","DRD370K.Value.Description","DRD370K.Count","DRD370K.Cumulative","DRD370K.Skip.to.Item"
"1","Yes",152,152,""
"2","No",4928,5080,"DRD370L"
".","Missing",4202,9282,""
