"WBXP097.Code.or.Value","WBXP097.Value.Description","WBXP097.Count","WBXP097.Cumulative","WBXP097.Skip.to.Item"
"-165.6984 to 168.364","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
