"LBDSTPSI.Code.or.Value","LBDSTPSI.Value.Description","LBDSTPSI.Count","LBDSTPSI.Cumulative","LBDSTPSI.Skip.to.Item"
"47 to 102","Range of Values",6544,6544,NA
".","Missing",435,6979,NA
