"URDECPLC.Code.or.Value","URDECPLC.Value.Description","URDECPLC.Count","URDECPLC.Cumulative","URDECPLC.Skip.to.Item"
"0","At or above the detection limit",2602,2602,NA
"1","Below lower detection limit",2,2604,NA
".","Missing",114,2718,NA
