"AUXLR231.Code.or.Value","AUXLR231.Value.Description","AUXLR231.Count","AUXLR231.Cumulative","AUXLR231.Skip.to.Item"
"-24 to 46","Range of Values",1774,1774,NA
".","Missing",115,1889,NA
