"SMQ050Q.Code.or.Value","SMQ050Q.Value.Description","SMQ050Q.Count","SMQ050Q.Cumulative","SMQ050Q.Skip.to.Item"
"1 to 72","Range of Values",1255,1255,NA
"77777","Refused",0,1255,NA
"99999","Don't know",4,1259,NA
".","Missing",5927,7186,NA
