"DSQTSELE.Code.or.Value","DSQTSELE.Value.Description","DSQTSELE.Count","DSQTSELE.Cumulative","DSQTSELE.Skip.to.Item"
"0.1 to 2691.4","Range of Values",1646,1646,NA
".","Missing",8891,10537,NA
