"DXXVATV.Code.or.Value","DXXVATV.Value.Description","DXXVATV.Count","DXXVATV.Cumulative","DXXVATV.Skip.to.Item"
"0","Valid",5427,5427,NA
"1","Invalid",21,5448,NA
".","Missing",585,6033,NA
