"SMQ852U.Code.or.Value","SMQ852U.Value.Description","SMQ852U.Count","SMQ852U.Cumulative","SMQ852U.Skip.to.Item"
"1","Days",266,266,NA
"2","Weeks",149,415,NA
"3","Months",179,594,NA
"7","Refused",0,594,NA
"9","Don't know",0,594,NA
".","Missing",6407,7001,NA
