"DRXTFF.Code.or.Value","DRXTFF.Value.Description","DRXTFF.Count","DRXTFF.Cumulative","DRXTFF.Skip.to.Item"
"0 to 1600","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
