"AUDTYL21.Code.or.Value","AUDTYL21.Value.Description","AUDTYL21.Count","AUDTYL21.Cumulative","AUDTYL21.Skip.to.Item"
"0 to 1.81","Range of Values",1774,1774,NA
".","Missing",115,1889,NA
