"LBXVBZ.Code.or.Value","LBXVBZ.Value.Description","LBXVBZ.Count","LBXVBZ.Cumulative","LBXVBZ.Skip.to.Item"
"0.017 to 2.5","Range of Values",3091,3091,NA
".","Missing",454,3545,NA
