"OHD18LAM.Code.or.Value","OHD18LAM.Value.Description","OHD18LAM.Count","OHD18LAM.Cumulative","OHD18LAM.Skip.to.Item"
"0 to 9","Range of Values",1351,1351,NA
"99","Calculation cannot be determined",473,1824,NA
".","Missing",4934,6758,NA
