"DUQ360.Code.or.Value","DUQ360.Value.Description","DUQ360.Count","DUQ360.Cumulative","DUQ360.Skip.to.Item"
"1 to 15","Range of Values",8,8,NA
"77","Refused",0,8,NA
"99","Don't know",0,8,NA
".","Missing",5294,5302,NA
